"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 01 22:38:33 CST 2021","Mon Mar 01 22:38:41 CST 2021","8350","test_cases.test_italki_login","test_account_operation","TestAdd","","","[case01] 验证app能否正常登录",""
"passed","Mon Mar 01 22:39:01 CST 2021","Mon Mar 01 22:39:14 CST 2021","13190","test_cases.test_italki_login","test_account_operation","TestAdd","","","[case02] 验证app能否正常登出",""
