"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 01 22:32:04 CST 2021","Mon Mar 01 22:32:14 CST 2021","10038","test_cases.test_italki_login","test_account_operation","TestAdd","","","[case01] 验证app能否正常登录",""
"passed","Mon Mar 01 22:32:33 CST 2021","Mon Mar 01 22:32:48 CST 2021","14523","test_cases.test_italki_login","test_account_operation","TestAdd","","","[case02] 验证app能否正常登出",""
