"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 01 22:40:32 CST 2021","Mon Mar 01 22:40:38 CST 2021","5763","test_cases.test_italki_login","test_account_operation","TestAdd","","","[case02] 验证app能否正常登出",""
"passed","Mon Mar 01 22:39:52 CST 2021","Mon Mar 01 22:40:05 CST 2021","12645","test_cases.test_italki_login","test_account_operation","TestAdd","","","[case01] 验证app能否正常登录",""
