"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 01 22:35:09 CST 2021","Mon Mar 01 22:35:24 CST 2021","14971","test_cases.test_italki_login","test_account_operation","TestAdd","","","[case02] 验证app能否正常登出",""
"passed","Mon Mar 01 22:34:39 CST 2021","Mon Mar 01 22:34:49 CST 2021","10539","test_cases.test_italki_login","test_account_operation","TestAdd","","","[case01] 验证app能否正常登录",""
